protein_external_id	preferred_name	protein_size	annotation
287.DR97_1345	DR97_1345	338	major_capsid_P2: phage major capsid protein, P2 family
287.DR97_1346	DR97_1346	233	annotation not available
287.DR97_1347	DR97_1347	153	annotation not available
287.DR97_1348	DR97_1348	70	annotation not available
287.DR97_1349	DR97_1349	117	annotation not available
287.DR97_135	DR97_135	126	annotation not available
287.DR97_1350	DR97_1350	90	Conserved hypothetical protein
287.DR97_1351	DR97_1351	268	annotation not available
287.DR97_1352	DR97_1352	80	Conserved hypothetical protein
287.DR97_1353	DR97_1353	153	phage_LysB: phage lysis regulatory , LysB family protein
287.DR97_1354	DR97_1354	178	annotation not available
287.DR97_1355	DR97_1355	152	tail_comp_S: phage virion morphogenesis protein
287.DR97_1356	DR97_1356	190	phage_P2_V: phage baseplate assembly V family protein
287.DR97_1357	DR97_1357	114	annotation not available
287.DR97_1358	DR97_1358	304	annotation not available
287.DR97_1359	DR97_1359	175	tail_P2_I: phage tail protein I
287.DR97_136	aroF3	358	Phospho-2-dehydro-3-deoxyheptonate aldolase; Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
287.DR97_1360	DR97_1360	796	annotation not available
287.DR97_1361	DR97_1361	153	annotation not available
287.DR97_1362	DR97_1362	391	annotation not available
287.DR97_1363	DR97_1363	171	Tail_tube: phage major tail tube protein
287.DR97_1364	DR97_1364	109	annotation not available
287.DR97_1365	DR97_1365	919	tape_meas_TP901: phage tail tape measure protein, TP901 family, core region
287.DR97_1366	DR97_1366	146	annotation not available
287.DR97_1367	DR97_1367	424	annotation not available
287.DR97_1368	DR97_1368	333	annotation not available
287.DR97_1369	DR97_1369	68	annotation not available
287.DR97_137	DR97_137	94	annotation not available
287.DR97_1370	DR97_1370	76	Conserved hypothetical protein
287.DR97_1371	DR97_1371	167	annotation not available
287.DR97_1372	DR97_1372	92	annotation not available
287.DR97_1373	DR97_1373	119	Conserved hypothetical protein
287.DR97_1374	DR97_1374	77	Conserved hypothetical protein
287.DR97_1375	DR97_1375	905	annotation not available
287.DR97_1376	DR97_1376	46	annotation not available
287.DR97_1377	DR97_1377	243	annotation not available
287.DR97_1378	DR97_1378	113	Conserved hypothetical protein
287.DR97_1379	DR97_1379	146	annotation not available
287.DR97_138	DR97_138	229	annotation not available
287.DR97_1380	DR97_1380	58	annotation not available
287.DR97_1381	DR97_1381	636	annotation not available
287.DR97_1382	DR97_1382	410	annotation not available
287.DR97_1383	DR97_1383	58	annotation not available
287.DR97_1384	DR97_1384	122	annotation not available
287.DR97_1385	DR97_1385	67	Conserved hypothetical protein
287.DR97_1386	DR97_1386	400	annotation not available
287.DR97_1387	DR97_1387	115	annotation not available
287.DR97_1388	int5	327	annotation not available
287.DR97_1389	DR97_1389	430	Uncharacterized protein
287.DR97_139	DR97_139	62	Putative secreted protein
287.DR97_1390	DR97_1390	36	annotation not available
287.DR97_1391	DR97_1391	384	annotation not available
287.DR97_1392	DR97_1392	39	annotation not available
287.DR97_1393	DR97_1393	116	Conserved hypothetical protein
287.DR97_1394	DR97_1394	201	annotation not available
287.DR97_1395	DR97_1395	72	annotation not available
287.DR97_1396	DR97_1396	83	Conserved hypothetical protein
287.DR97_1397	DR97_1397	30	annotation not available
287.DR97_1398	V3	144	annotation not available
287.DR97_1399	DR97_1399	219	annotation not available
287.DR97_14	modB	226	modB_ABC: molybdate ABC transporter, permease protein
287.DR97_140	DR97_140	168	annotation not available
287.DR97_1400	DR97_1400	71	Uncharacterized protein
287.DR97_1401	DR97_1401	230	Uncharacterized protein
287.DR97_1402	DR97_1402	504	annotation not available
287.DR97_1403	DR97_1403	140	Uncharacterized protein
287.DR97_1404	DR97_1404	97	Putative secreted protein
287.DR97_1405	DR97_1405	85	UPF0386 protein AO964_17360; Belongs to the UPF0386 family
287.DR97_1406	DR97_1406	168	annotation not available
287.DR97_1407	gloA2	131	glyox_I: lactoylglutathione lyase
287.DR97_1408	lsrG_2	98	annotation not available
287.DR97_1409	DR97_1409	284	annotation not available
287.DR97_141	DR97_141	162	Uncharacterized protein
287.DR97_1410	toxR	259	annotation not available
287.DR97_1411	cat	212	annotation not available
287.DR97_1412	epsE_4	299	annotation not available
287.DR97_1413	DR97_1413	464	annotation not available
287.DR97_1414	DR97_1414	438	annotation not available
287.DR97_1415	DR97_1415	221	annotation not available
287.DR97_1416	DR97_1416	301	annotation not available
287.DR97_1417	DR97_1417	328	annotation not available
287.DR97_1418	DR97_1418	141	Uncharacterized protein
287.DR97_1419	DR97_1419	314	annotation not available
287.DR97_142	DR97_142	72	Uncharacterized protein
287.DR97_1420	DR97_1420	159	annotation not available
287.DR97_1421	DR97_1421	220	Uncharacterized protein
287.DR97_1422	DR97_1422	568	Uncharacterized protein
287.DR97_1423	DR97_1423	248	Uncharacterized protein; tonB_Cterm: TonB family C-terminal domain protein
287.DR97_1424	exbD2	139	annotation not available
287.DR97_1425	exbB2	615	annotation not available
287.DR97_1426	DR97_1426	544	annotation not available
287.DR97_1427	DR97_1427	200	Uncharacterized protein
287.DR97_1428	DR97_1428	4180	Uncharacterized protein; adhes_NPXG: filamentous hemagglutinin family N-terminal domain protein
287.DR97_1429	DR97_1429	199	annotation not available
287.DR97_143	DR97_143	79	Putative membrane protein
287.DR97_1430	DR97_1430	172	annotation not available
287.DR97_1431	DR97_1431	368	annotation not available
287.DR97_1432	outF	404	gspF: type II secretion system protein F
287.DR97_1433	xcpR3	469	type_II_gspE: type II secretion system protein E
287.DR97_1434	hxcQ	803	type_II_gspD: type II secretion system protein D
287.DR97_1435	hxcZ	197	annotation not available
287.DR97_1436	hxcY	403	annotation not available
287.DR97_1437	hxcX	321	annotation not available
287.DR97_1438	xcpT_3	149	typeII_sec_gspG: type II secretion system protein G
287.DR97_1439	hxcV	124	gspI: type II secretion system protein I
287.DR97_144	DR97_144	240	annotation not available
287.DR97_1440	hxcP	143	annotation not available
287.DR97_1441	hxcU	149	typeII_sec_gspH: type II secretion system protein H
287.DR97_1442	hxcW	213	Uncharacterized protein; IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain protein
287.DR97_1443	vreR	319	annotation not available
287.DR97_1444	vreI	181	sigma70-ECF: RNA polymerase sigma factor, sigma-70 family protein
287.DR97_1445	vreA	227	VreA; Secretin and TonB N terminus short domain protein
287.DR97_1446	pigB	106	Uncharacterized protein
287.DR97_1447	hemO	198	annotation not available
287.DR97_1448	DR97_1448	223	Uncharacterized protein
287.DR97_1449	DR97_1449	471	impB/mucB/samB family C-terminal domain protein
287.DR97_145	DR97_145	123	annotation not available
287.DR97_1450	dnaE2	1024	Polc: DNA polymerase III, alpha subunit
287.DR97_1456	sbcD	409	Nuclease SbcCD subunit D; SbcCD cleaves DNA hairpin structures. These structures can inhibit DNA replication and are intermediates in certain DNA recombination reactions. The complex acts as a 3'->5' double strand exonuclease that can open hairpins. It also has a 5' single-strand endonuclease activity
287.DR97_1457	sbcC	1211	Nuclease sbcCD subunit C; recF/RecN/SMC N terminal domain protein
287.DR97_1458	recD	721	RecBCD enzyme subunit RecD; A helicase/nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holo [...] 
287.DR97_1459	recB	1245	RecBCD enzyme subunit RecB; A helicase/nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holo [...] 
287.DR97_146	DR97_146	332	annotation not available
287.DR97_1460	recC	1171	RecBCD enzyme subunit RecC; A helicase/nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holo [...] 
287.DR97_1461	DR97_1461	227	annotation not available
287.DR97_1462	DR97_1462	296	annotation not available
287.DR97_1463	DR97_1463	267	annotation not available
287.DR97_1464	DR97_1464	525	annotation not available
287.DR97_1465	chr	401	Transporter; 2A51: chromate transporter, chromate ion transporter family protein
287.DR97_1466	DR97_1466	83	Uncharacterized protein
287.DR97_1467	pitA	489	annotation not available
287.DR97_1468	pprA	923	annotation not available
287.DR97_1469	DR97_1469	154	annotation not available
287.DR97_147	yajO	323	annotation not available
287.DR97_1470	DR97_1470	160	annotation not available
287.DR97_1471	algB_2	275	annotation not available
287.DR97_1472	DR97_1472	556	annotation not available
287.DR97_1473	DR97_1473	94	Putative secreted protein
287.DR97_1474	DR97_1474	245	annotation not available
287.DR97_1475	tadC	303	annotation not available
287.DR97_1476	DR97_1476	294	annotation not available
287.DR97_1477	cpaF2	421	annotation not available
287.DR97_1478	tadZ	394	annotation not available
287.DR97_1479	rcpA	416	annotation not available
287.DR97_148	DR97_148	304	annotation not available
287.DR97_1480	cpaB	303	pilus_cpaB: Flp pilus assembly protein CpaB
287.DR97_1481	DR97_1481	72	annotation not available
287.DR97_1482	pctC	632	annotation not available
287.DR97_1483	yjgR	496	annotation not available
287.DR97_1484	pctA	629	annotation not available
287.DR97_1485	pctB	629	annotation not available
287.DR97_1486	pimC	371	annotation not available
287.DR97_1487	DR97_1487	253	Conserved hypothetical protein
287.DR97_1488	DR97_1488	70	Conserved hypothetical protein
287.DR97_1489	DR97_1489	333	TIGR00374 family protein
287.DR97_149	DR97_149	714	annotation not available
287.DR97_1490	purU	283	Formyltetrahydrofolate deformylase; Catalyzes the hydrolysis of 10-formyltetrahydrofolate (formyl-FH4) to formate and tetrahydrofolate (FH4)
287.DR97_1491	mvaT	124	annotation not available
287.DR97_1492	sbcB	478	Exonuclease C-terminal family protein
287.DR97_1493	DR97_1493	245	annotation not available
287.DR97_1494	DR97_1494	223	annotation not available
287.DR97_1495	DR97_1495	326	Uncharacterized protein
287.DR97_1496	DR97_1496	523	DUF4129 domain-containing protein
287.DR97_1497	DR97_1497	423	Uncharacterized protein
287.DR97_1498	DR97_1498	335	annotation not available
287.DR97_1499	DR97_1499	443	annotation not available
287.DR97_15	modC	361	Molybdenum import ATP-binding protein ModC; Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system; Belongs to the ABC transporter superfamily. Molybdate importer (TC 3.A.1.8) family
287.DR97_150	fadA7	401	Putative acyltransferase Rv0859; acCoA-C-Actrans: acetyl-CoA C-acetyltransferase family protein; Belongs to the thiolase family
287.DR97_1500	DR97_1500	119	Pilus assembly protein PilZ
287.DR97_1501	DR97_1501	118	Uncharacterized protein
287.DR97_1502	DR97_1502	125	annotation not available
287.DR97_1503	DR97_1503	268	annotation not available
287.DR97_1504	DR97_1504	304	annotation not available
287.DR97_1505	pykA	483	Pyruv_kin: pyruvate kinase; Belongs to the pyruvate kinase family
287.DR97_1506	paaF_1	257	annotation not available
287.DR97_1507	ndoR	308	annotation not available
287.DR97_1508	DR97_1508	375	GGDEF: diguanylate cyclase domain protein
287.DR97_1509	fumA	507	Fumarate hydratase class I; Catalyzes the reversible hydration of fumarate to (S)- malate; Belongs to the class-I fumarase family
287.DR97_151	DR97_151	33	annotation not available
287.DR97_1510	mntH1	439	Divalent metal cation transporter MntH; H(+)-stimulated, divalent metal cation uptake system
287.DR97_1511	DR97_1511	102	annotation not available
287.DR97_1512	yfkM_1	193	General stress protein 18; pfpI: intracellular protease, PfpI family protein
287.DR97_1513	DR97_1513	203	Uncharacterized protein
287.DR97_1514	DR97_1514	428	annotation not available
287.DR97_1515	DR97_1515	385	annotation not available
287.DR97_1516	DR97_1516	190	annotation not available
287.DR97_1517	kdgR_1	256	annotation not available
287.DR97_1518	DR97_1518	494	annotation not available
287.DR97_1519	DR97_1519	439	annotation not available
287.DR97_152	DR97_152	295	annotation not available
287.DR97_1520	hipO	406	Amidohydrolases: amidohydrolase family protein
287.DR97_1521	DR97_1521	196	annotation not available
287.DR97_1522	DR97_1522	111	Amidase
287.DR97_1523	DR97_1523	371	annotation not available
287.DR97_1524	DR97_1524	261	annotation not available
287.DR97_1525	DR97_1525	298	annotation not available
287.DR97_1526	DR97_1526	251	annotation not available
287.DR97_1527	DR97_1527	286	annotation not available
287.DR97_1528	DR97_1528	258	annotation not available
287.DR97_1529	acpH	190	Acyl carrier protein phosphodiesterase
287.DR97_153	DR97_153	273	annotation not available
287.DR97_1530	DR97_1530	100	annotation not available
287.DR97_1531	ydhP	388	annotation not available
287.DR97_1532	nemA3	350	NADH:flavin oxidoreductase / NADH oxidase family protein
287.DR97_1533	DR97_1533	80	annotation not available
287.DR97_1534	feoB	766	Ferrous iron transport protein B; Probable transporter of a GTP-driven Fe(2+) uptake system
287.DR97_1535	feoA	75	annotation not available
287.DR97_1536	DR97_1536	278	annotation not available
287.DR97_1537	DR97_1537	329	annotation not available
287.DR97_1538	DR97_1538	87	Conserved hypothetical protein
287.DR97_1539	argP	298	HTH-type transcriptional regulator ArgP; Controls the transcription of genes involved in arginine and lysine metabolism
287.DR97_154	DR97_154	243	annotation not available
287.DR97_1540	DR97_1540	352	annotation not available
287.DR97_1541	DR97_1541	133	annotation not available
287.DR97_1542	DR97_1542	200	annotation not available
287.DR97_1543	DR97_1543	193	Superoxide dismutase; Destroys radicals which are normally produced within the cells and which are toxic to biological systems
287.DR97_1544	DR97_1544	300	annotation not available
287.DR97_1545	bifA	687	Protein BifA; GGDEF: diguanylate cyclase domain protein
287.DR97_1546	DR97_1546	190	annotation not available
287.DR97_1547	icmP	446	annotation not available
287.DR97_1548	DR97_1548	471	annotation not available
287.DR97_1549	DR97_1549	354	annotation not available
287.DR97_155	tgpA_2	266	annotation not available
287.DR97_1550	DR97_1550	364	Uncharacterized protein
287.DR97_1551	DR97_1551	376	RND_mfp: efflux transporter, RND family, MFP subunit; Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
287.DR97_1552	DR97_1552	1018	annotation not available
287.DR97_1553	pncB2	398	Nicotinate phosphoribosyltransferase; Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP
287.DR97_1554	DR97_1554	80	Putative secreted protein
287.DR97_1555	inaA	234	annotation not available
287.DR97_1556	ubiE_3	227	annotation not available
287.DR97_1557	colS	426	annotation not available
287.DR97_1558	colR	227	annotation not available
287.DR97_1559	DR97_1559	109	Uncharacterized protein
287.DR97_156	DR97_156	317	Uncharacterized protein; A predicted alpha-helical domain with a conserved ER motif family protein
287.DR97_1560	DR97_1560	264	annotation not available
287.DR97_1561	crcB	127	Putative fluoride ion transporter CrcB; Important for reducing fluoride concentration in the cell, thus reducing its toxicity
287.DR97_1562	DR97_1562	228	annotation not available
287.DR97_1563	groL	547	60 kDa chaperonin; Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
287.DR97_1564	groS	97	10 kDa chaperonin; Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
287.DR97_1565	fxsA	155	annotation not available
287.DR97_1566	DR97_1566	244	annotation not available
287.DR97_1567	speA3	252	annotation not available
287.DR97_1568	DR97_1568	309	Uncharacterized protein
287.DR97_1569	DR97_1569	322	Uncharacterized protein
287.DR97_157	DR97_157	470	annotation not available
287.DR97_1570	ogt_1	127	annotation not available
287.DR97_1571	ampG	594	2A0125: AmpG-like permease family protein
287.DR97_1572	mscS_2	278	annotation not available
287.DR97_1573	DR97_1573	159	UPF0234 protein PAMH19_3768; Belongs to the UPF0234 family
287.DR97_1574	DR97_1574	321	annotation not available
287.DR97_1575	panE	303	2-dehydropantoate 2-reductase; Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid
287.DR97_1576	DR97_1576	698	annotation not available
287.DR97_1577	DR97_1577	192	Uncharacterized protein; ATP:cob(I)alamin adenosyltransferase, putative
287.DR97_1578	DR97_1578	315	Mutt: mutator mutT family protein
287.DR97_1579	yfcF	211	Glutathione S-transferase, N-terminal domain protein
287.DR97_158	DR97_158	232	Uncharacterized protein
287.DR97_1580	argJ	405	Arginine biosynthesis bifunctional protein ArgJ; Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis: the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate; Belongs to the ArgJ family
287.DR97_1581	secA	916	Protein translocase subunit SecA; Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane; Belongs to the SecA family
287.DR97_1582	DR97_1582	307	annotation not available
287.DR97_1583	DR97_1583	153	RNA-binding protein
287.DR97_1584	lpxC	303	UDP-3-O-acyl-N-acetylglucosamine deacetylase; Catalyzes the hydrolysis of UDP-3-O-myristoyl-N- acetylglucosamine to form UDP-3-O-myristoylglucosamine and acetate, the committed step in lipid A biosynthesis; Belongs to the LpxC family
287.DR97_1585	ftsZ	394	ftsZ: cell division protein FtsZ
287.DR97_1586	ftsA	417	Cell division protein FtsA; Cell division protein that is involved in the assembly of the Z ring. May serve as a membrane anchor for the Z ring; Belongs to the FtsA/MreB family
287.DR97_1587	ftsQ	287	Cell division protein FtsQ; Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly
287.DR97_1588	ddl	319	D-alanine--D-alanine ligase; Cell wall formation; Belongs to the D-alanine--D-alanine ligase family
287.DR97_1589	murC	469	UDP-N-acetylmuramate--L-alanine ligase; Cell wall formation; Belongs to the MurCDEF family
287.DR97_159	DR97_159	113	annotation not available
287.DR97_1590	murG	357	Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase; Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II); Belongs to the glycosyltransferase 28 family. MurG subfamily
287.DR97_1591	ftsW	399	Probable peptidoglycan glycosyltransferase FtsW; Peptidoglycan polymerase that is essential for cell division; Belongs to the SEDS family. FtsW subfamily
287.DR97_1592	murD	448	UDP-N-acetylmuramoylalanine--D-glutamate ligase; Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA); Belongs to the MurCDEF family
287.DR97_1593	mraY	360	Phospho-N-acetylmuramoyl-pentapeptide-transferase; First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan; Belongs to the glycosyltransferase 4 family. MraY subfamily
287.DR97_1594	murF	458	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase; Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein; Belongs to the MurCDEF family. MurF subfamily
287.DR97_1595	murE	487	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase; Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan; Belongs to the MurCDEF family. MurE subfamily
287.DR97_1596	DR97_1596	579	Peptidoglycan D,D-transpeptidase FtsI; Catalyzes cross-linking of the peptidoglycan cell wall at the division septum; Belongs to the transpeptidase family. FtsI subfamily
287.DR97_1597	ftsL	97	Cell division protein FtsL; Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic
287.DR97_1598	rsmH	313	Ribosomal RNA small subunit methyltransferase H; Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA
287.DR97_1599	mraZ	134	annotation not available
287.DR97_16	DR97_16	275	annotation not available
287.DR97_160	DR97_160	685	Putative signaling protein PA1727; GGDEF: diguanylate cyclase domain protein
287.DR97_1600	rsmI	282	Ribosomal RNA small subunit methyltransferase I; Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA
287.DR97_1601	DR97_1601	604	annotation not available
287.DR97_1602	DR97_1602	81	UPF0102 protein CAZ03_05850; Belongs to the UPF0102 family
287.DR97_1603	gmhA	195	Phosphoheptose isomerase; Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate
287.DR97_1604	osmY_2	192	annotation not available
287.DR97_1605	sspB	135	annotation not available
287.DR97_1606	sspA	205	annotation not available
287.DR97_1607	fbcH	260	annotation not available
287.DR97_1608	petB	403	Cytochrome b; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
287.DR97_1609	petA	197	Ubiquinol-cytochrome c reductase iron-sulfur subunit; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
287.DR97_161	bglX	764	annotation not available
287.DR97_1610	rpsI	130	annotation not available
287.DR97_1611	rplM	142	50S ribosomal protein L13; This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly
287.DR97_1612	tas	345	annotation not available
287.DR97_1613	Acadl1	378	Long-chain specific acyl-CoA dehydrogenase, mitochondrial; acyl-CoA dehydrogenase, N-terminal domain protein
287.DR97_1614	DR97_1614	332	annotation not available
287.DR97_1615	DR97_1615	320	Uncharacterized protein
287.DR97_1616	yhcM	364	Cell division protein ZapE; Reduces the stability of FtsZ polymers in the presence of ATP
287.DR97_1617	trpS	448	trpS: tryptophan--tRNA ligase
287.DR97_1618	DR97_1618	209	annotation not available
287.DR97_1619	DR97_1619	148	Cytochrome D ubiquinol oxidase subunit III
287.DR97_162	yscL	214	Yop proteins translocation protein L; hrpE_YscL_not: type III secretion apparatus protein, HrpE/YscL family
287.DR97_1620	cysN/C	633	Multifunctional fusion protein; Catalyzes the synthesis of activated sulfate; Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN/NodQ subfamily
287.DR97_1621	cysD	305	cysD: sulfate adenylyltransferase, small subunit
287.DR97_1622	DR97_1622	252	annotation not available
287.DR97_1623	mltB3	367	mltB: lytic murein transglycosylase B
287.DR97_1624	algW	389	annotation not available
287.DR97_1625	hisC1	351	Histidinol-phosphate aminotransferase 1; hisC: histidinol-phosphate transaminase
287.DR97_1626	hisD	440	Histidinol dehydrogenase; Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine
287.DR97_1627	hisG	211	ATP phosphoribosyltransferase; Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity; Belongs to the ATP phosphoribosyltransferase family. Short subfamily
287.DR97_1628	murA	421	UDP-N-acetylglucosamine 1-carboxyvinyltransferase; Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine; Belongs to the EPSP synthase family. MurA subfamily
287.DR97_1629	DR97_1629	79	annotation not available
287.DR97_163	pscK	206	annotation not available
287.DR97_1630	DR97_1630	102	annotation not available
287.DR97_1631	ttg2D	215	annotation not available
287.DR97_1632	mlaD	157	annotation not available
287.DR97_1633	mlaE	265	Putative Phospholipid ABC transporter permease protein MlaE
287.DR97_1634	mlaF	269	annotation not available
287.DR97_1635	DR97_1635	30	annotation not available
287.DR97_1636	kdsD	324	Arabinose 5-phosphate isomerase; kpsF: sugar isomerase, KpsF/GutQ family protein
287.DR97_1637	DR97_1637	179	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC; Involved in the biosynthesis of lipopolysaccharides (LPSs). Catalyzes the hydrolysis of 3-deoxy-D-manno-octulosonate 8-phosphate (KDO 8-P) to 3-deoxy-D-manno-octulosonate (KDO) and inorganic phosphate; Belongs to the KdsC family
287.DR97_1638	lptC	190	Lipopolysaccharide export system protein LptC; Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. Facilitates the transfer of LPS from the inner membrane to the periplasmic protein LptA. Could be a docking site for LptA
287.DR97_1639	lptA	175	Lipopolysaccharide export system protein LptA; Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. May form a bridge between the inner membrane and the outer membrane, via interactions with LptC and LptD, thereby facilitating LPS transfer across the periplasm
287.DR97_164	pscJ	238	III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family
287.DR97_1640	lptB	241	annotation not available
287.DR97_1641	rpoN	497	RNA polymerase sigma-54 factor; Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released
287.DR97_1642	raiA	102	Ribosome hibernation promoting factor; yfiA: ribosomal subunit interface protein
287.DR97_1643	ptsN	154	PTS fructose transporter subunit IIA; nitro_reg_IIA: PTS IIA-like nitrogen-regulatory protein PtsN
287.DR97_1644	DR97_1644	286	Nucleotide-binding protein AO964_07660; Displays ATPase and GTPase activities
287.DR97_1645	ptsH	90	PTS_HPr_: phosphocarrier, HPr family protein
287.DR97_1646	DR97_1646	300	annotation not available
287.DR97_1647	sodA	203	Superoxide dismutase; Destroys radicals which are normally produced within the cells and which are toxic to biological systems
287.DR97_1648	DR97_1648	149	Uncharacterized protein
287.DR97_1649	fumC1	458	Fumarate hydratase class II; Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate; Belongs to the class-II fumarase/aspartase family. Fumarase subfamily
287.DR97_165	pscI	112	yscI_hrpB_dom: type III secretion apparatus protein, YscI/HrpB, C-terminal domain
287.DR97_1650	fagA	131	annotation not available
287.DR97_1651	pmbA	449	annotation not available
287.DR97_1652	yjgA_2	174	UPF0307 protein AO964_14450; Belongs to the UPF0307 family
287.DR97_1653	tldD	480	annotation not available
287.DR97_1654	DR97_1654	282	annotation not available
287.DR97_1655	DR97_1655	1276	Uncharacterized protein
287.DR97_1656	rng	485	RNaseEG: ribonuclease, Rne/Rng family domain protein
287.DR97_1657	DR97_1657	201	Maf-like protein PAMH19_3682; Maf: septum formation protein Maf
287.DR97_1658	mreD	164	Rod shape-determining protein MreD; Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins
287.DR97_1659	mreC	330	mreC: rod shape-determining protein MreC
287.DR97_166	pscH	143	Type III export protein PscH; type_III_yopR: type III secretion effector, YopR family
287.DR97_1660	mreB	345	annotation not available
